transaction_id,customer_id,transaction_date,region,customer_type,product,quantity,sales_amount,discount,gst_amount,payment_method,order_status,source,support_tickets
TX000001,100936,2025-06-01,Northeast,Existing,Invoice Pro,4,16902.34,0.0,3042.42,Card,Completed,Referral,3
TX000002,101012,2025-11-22,South,Existing,Invoice Pro,1,3976.83,0.0,715.83,Cash,Completed,Referral,0
TX000003,103302,2025-04-23,West,Existing,Invoice Pro,5,21300.41,0.05,3834.07,UPI,Completed,Online,0
TX000004,103639,2026-04-23,South,Existing,GST Filing,4,-7194.54,0.0,-1295.02,UPI,Refunded,Referral,2
TX000005,104783,2025-04-04,West,New,GST Filing,4,8051.25,0.05,1449.22,UPI,Completed,Offline,1
TX000006,104428,2026-01-27,,New,Invoice Pro,1,4380.38,0.0,788.47,UPI,Completed,Offline,0
TX000007,100142,2025-10-03,South,Existing,GST Filing,1,1680.27,0.05,302.45,UPI,Completed,Online,2
TX000008,100755,2026-06-09,South,New,GST Filing,2,3568.04,0.0,642.25,Bank Transfer,Completed,Referral,0
TX000009,103195,2025-03-31,South,New,Data Analytics ,4,29163.45,0.0,5249.42,UPI,Completed,Referral,0
TX000010,100471,2025-06-08,West,Existing,Invoice Pro,3,9563.42,0.1,1721.42,Bank Transfer,Completed,Offline,2
TX000011,103127,not-a-date,Northeast,Existing,GST Filing,1,1761.79,0.1,317.12,Card,Completed,Online,0
TX000012,103659,2025-05-05,Central,Existing,Data Analytics,-2,54335.06,0.0,9780.31,UPI,Completed,Online,1
TX000013,101951,2025-05-20,Northeast,Existing,Payroll,2,-999.0,0.0,2156.46,Card,Completed,Offline,2
TX000014,103011,2025-08-25,South,Existing,GST Filing,3,4830.21,0.05,869.44,Card,Completed,Online,2
TX000015,100244,2026-04-11,West,New,Payroll,4,26111.83,0.0,4700.13,Cash,Completed,Referral,0
TX000016,100690,2026-06-11,South,New,Payroll,2,12090.13,0.05,2176.22,UPI,Completed,Online,0
TX000017,103463,2025-05-24,North,Existing,Data Analytics,5,46320.91,0.0,8337.76,UPI,Completed,Online,2
TX000018,104864,2026-05-02,North,Existing,GST Filing,2,3576.21,0.05,643.72,UPI,Completed,Referral,3
TX000019,103491,2025-07-14,North,New,Data Analytics,4,37847.4,0.0,6812.53,Bank Transfer,Completed,Offline,1
TX000020,102093,2025-11-23,South,Existing,GST Filing,4,6433.51,0.1,1158.03,UPI,Completed,Offline,2
TX000021,101285,2025-02-06,East,New,GST Filing,1,2014.19,0.0,362.55,UPI,Completed,Offline,3
TX000022,104283,2026-05-30,South,Existing,GST Filing,1,1496.21,0.05,269.32,Bank Transfer,Completed,Online,5
TX000023,103509,2026-06-18,Central,Existing,GST Filing,4,8211.29,0.0,1478.03,Card,Completed,Online,1
TX000024,104906,2025-06-19,East,Existing,Invoice Pro,2,8827.8,0.0,1589.0,Cash,Completed,Online,2
TX000025,102679,2025-10-08,South,New,GST Filing,4,6778.48,0.0,1220.13,UPI,Completed,Offline,2
TX000026,102371,2026-04-03,Northeast,New,GST Filing,3,5320.03,0.1,957.61,UPI,Completed,Offline,2
TX000027,103274,2026-03-28,West,Existing,Payroll,4,24710.58,0.0,4447.9,Card,Completed,Online,0
TX000028,102783,2026-01-17,East,New,Invoice Pro,1,4149.63,0.05,746.93,UPI,Completed,Online,2
TX000029,103239,2025-07-18,North,Existing,Payroll,5,36006.65,0.05,6481.2,UPI,Cancelled,Online,4
TX000030,100306,2025-03-18,South,New,Payroll,4,22370.37,0.1,4026.67,Card,Completed,Online,1
TX000031,104245,2026-03-30,South,Existing,GST Filing,3,5073.91,0.05,913.3,Bank Transfer,Completed,Offline,3
TX000032,103838,2025-11-11,Central,Existing,Invoice Pro,1,3413.8,0.15,614.48,UPI,Completed,Online,0
TX000033,101235,2025-05-09,South,New,Data Analytics,5,36944.92,0.15,6650.09,UPI,Completed,Online,2
TX000034,103221,2025-04-01,South,Existing,Data Analytics,1,9371.51,0.05,1686.87,UPI,Completed,Offline,3
TX000035,102877,2026-03-12,North,New,GST Filing,3,5134.11,0.1,924.14,UPI,Completed,Offline,2
TX000036,102134,2026-04-10,North,New,Payroll,1,7255.45,0.05,1305.98,UPI,Cancelled,Online,1
TX000037,103649,2025-11-04,Northeast,Existing,GST Filing,3,5336.91,0.0,960.64,Card,Completed,Online,2
TX000038,100413,2026-02-14,North,Existing,Invoice Pro,4,15556.17,0.1,2800.11,UPI,Completed,Offline,2
TX000039,100194,2025-07-31,Central,New,GST Filing,2,2889.96,0.0,520.19,UPI,Completed,Online,2
TX000040,102450,2025-12-24,South,New,GST Filing,3,5443.79,0.0,979.88,Card,Completed,Offline,1
TX000041,101148,2025-07-26,Northeast,Existing,Invoice Pro,5,19758.16,0.0,3556.47,Bank Transfer,Completed,Referral,0
TX000042,100245,2025-07-04,North,New,Data Analytics,2,20885.77,0.0,3759.44,UPI,Completed,Referral,0
TX000043,104283,2025-11-13,East,New,Invoice Pro,1,3307.19,0.15,595.29,UPI,Completed,Referral,0
TX000044,104473,2025-01-09,Northeast,Existing,GST Filing,2,3288.26,0.1,591.89,UPI,Completed,Offline,3
TX000045,101119,2025-01-29,East,Existing,GST Filing,2,3423.06,0.05,616.15,UPI,Completed,Online,0
TX000046,100821,2026-04-14,Central,Existing,Invoice Pro,4,17116.2,0.05,3080.92,UPI,Completed,Offline,3
